realtime_end,date,value,realtime_start
2018-11-26,2012-07-01,274815,2018-11-26
2018-11-26,2012-08-01,274695,2018-11-26
2018-11-26,2012-09-01,267974,2018-11-26
2018-11-26,2012-10-01,269283,2018-11-26
2018-11-26,2012-11-01,268768,2018-11-26
2018-11-26,2012-12-01,260684,2018-11-26
2018-11-26,2013-01-01,260153,2018-11-26
2018-11-26,2013-02-01,265375,2018-11-26
2018-11-26,2013-03-01,254966,2018-11-26
2018-11-26,2013-04-01,264528,2018-11-26
2018-11-26,2013-05-01,264200,2018-11-26
2018-11-26,2013-06-01,265821,2018-11-26
2018-11-26,2013-07-01,267622,2018-11-26
2018-11-26,2013-08-01,267956,2018-11-26
2018-11-26,2013-09-01,266811,2018-11-26
2018-11-26,2013-10-01,267308,2018-11-26
2018-11-26,2013-11-01,264306,2018-11-26
2018-11-26,2013-12-01,262815,2018-11-26
2018-11-26,2014-01-01,260007,2018-11-26
2018-11-26,2014-02-01,257750,2018-11-26
2018-11-26,2014-03-01,260174,2018-11-26
2018-11-26,2014-04-01,267838,2018-11-26
2018-11-26,2014-05-01,270560,2018-11-26
2018-11-26,2014-06-01,270325,2018-11-26
2018-11-26,2014-07-01,278126,2018-11-26
2018-11-26,2014-08-01,275758,2018-11-26
2018-11-26,2014-09-01,270801,2018-11-26
2018-11-26,2014-10-01,282479,2018-11-26
2018-11-26,2014-11-01,272816,2018-11-26
2018-11-26,2014-12-01,277308,2018-11-26
2018-11-26,2015-01-01,269397,2018-11-26
2018-11-26,2015-02-01,270794,2018-11-26
2018-11-26,2015-03-01,273855,2018-11-26
2018-11-26,2015-04-01,284012,2018-11-26
2018-11-26,2015-05-01,286194,2018-11-26
2018-11-26,2015-06-01,293553,2018-11-26
2018-11-26,2015-07-01,292703,2018-11-26
2018-11-26,2015-08-01,294344,2018-11-26
2018-11-26,2015-09-01,288441,2018-11-26
2018-11-26,2015-10-01,280573,2018-11-26
2018-11-26,2015-11-01,275671,2018-11-26
2018-11-26,2015-12-01,282143,2018-11-26
2018-11-26,2016-01-01,294885,2018-11-26
2018-11-26,2016-02-01,294411,2018-11-26
2018-11-26,2016-03-01,291828,2018-11-26
2018-11-26,2016-04-01,287725,2018-11-26
2018-11-26,2016-05-01,285760,2018-11-26
2018-11-26,2016-06-01,291831,2018-11-26
2018-11-26,2016-07-01,281694,2018-11-26
2018-11-26,2016-08-01,278721,2018-11-26
2018-11-26,2016-09-01,282834,2018-11-26
2018-11-26,2016-10-01,282374,2018-11-26
2018-11-26,2016-11-01,285636,2018-11-26
2018-11-26,2016-12-01,280195,2018-11-26
2018-11-26,2017-01-01,272391,2018-11-26
2018-11-26,2017-02-01,279422,2018-11-26
2018-11-26,2017-03-01,280624,2018-11-26
2018-11-26,2017-04-01,272929,2018-11-26
2018-11-26,2017-05-01,283448,2018-11-26
2018-11-26,2017-06-01,276903,2018-11-26
2018-11-26,2017-07-01,274706,2018-11-26
2018-11-26,2017-08-01,271455,2018-11-26
2018-11-26,2017-09-01,271813,2018-11-26
2018-11-26,2017-10-01,279488,2018-11-26
2018-11-26,2017-11-01,279441,2018-11-26
2018-11-26,2017-12-01,282578,2018-11-26
2018-11-26,2018-01-01,283693,2018-11-26
2018-11-26,2018-02-01,285475,2018-11-26
2018-11-26,2018-03-01,288561,2018-11-26
2018-11-26,2018-04-01,292784,2018-11-26
2018-11-26,2018-05-01,300632,2018-11-26
2018-11-26,2018-06-01,298898,2018-11-26
2018-11-26,2018-07-01,298661,2018-11-26
2018-11-26,2018-08-01,305620,2018-11-26
2018-11-26,2018-09-01,303197,2018-11-26
